Benchmark,Optimization,Avg Time (s),Std Dev (s),Speedup,P95 Time (s),P99 Time (s),Dynamic Instructions
mandelbrot,--lvn_--dce_--loops,0.008293,0.000157,1.32x,N/A,N/A,N/A
logistic,baseline,0.002470,0.000864,baseline,N/A,N/A,N/A
logistic,--lvn,0.002475,0.000152,1.00x,N/A,N/A,N/A
logistic,--dce,0.002647,0.001151,0.93x,N/A,N/A,N/A
logistic,--loops,0.002475,0.000193,1.00x,N/A,N/A,N/A
logistic,--lvn_--dce,0.002477,0.000219,1.00x,N/A,N/A,N/A
logistic,--lvn_--dce_--loops,0.002669,0.001004,0.93x,N/A,N/A,N/A
rgb2gray,baseline,0.002197,0.000137,baseline,N/A,N/A,N/A
rgb2gray,--lvn,0.002254,0.000142,0.97x,N/A,N/A,N/A
rgb2gray,--dce,0.002280,0.000266,0.96x,N/A,N/A,N/A
rgb2gray,--loops,0.002225,0.000235,0.99x,N/A,N/A,N/A
rgb2gray,--lvn_--dce,0.002298,0.000142,0.96x,N/A,N/A,N/A
rgb2gray,--lvn_--dce_--loops,0.002331,0.000426,0.94x,N/A,N/A,N/A
norm,baseline,0.002401,0.000154,baseline,N/A,N/A,N/A
norm,--lvn,0.002388,0.001027,1.01x,N/A,N/A,N/A
norm,--dce,0.002486,0.000492,0.97x,N/A,N/A,N/A
norm,--loops,0.002325,0.000157,1.03x,N/A,N/A,N/A
norm,--lvn_--dce,0.002358,0.000136,1.02x,N/A,N/A,N/A
norm,--lvn_--dce_--loops,0.002471,0.000442,0.97x,N/A,N/A,N/A
harmonic-sum,baseline,0.028390,0.000278,baseline,N/A,N/A,N/A
harmonic-sum,--lvn,0.026411,0.000313,1.07x,N/A,N/A,N/A
harmonic-sum,--dce,0.028822,0.001483,0.99x,N/A,N/A,N/A
harmonic-sum,--loops,0.023057,0.000387,1.23x,N/A,N/A,N/A
harmonic-sum,--lvn_--dce,0.024493,0.001121,1.16x,N/A,N/A,N/A
harmonic-sum,--lvn_--dce_--loops,0.021178,0.000328,1.34x,N/A,N/A,N/A
cordic,baseline,0.002589,0.000131,baseline,N/A,N/A,N/A
cordic,--lvn,0.002608,0.000119,0.99x,N/A,N/A,N/A
cordic,--dce,0.002606,0.000117,0.99x,N/A,N/A,N/A
cordic,--loops,0.002655,0.000137,0.98x,N/A,N/A,N/A
cordic,--lvn_--dce,0.002614,0.000124,0.99x,N/A,N/A,N/A
cordic,--lvn_--dce_--loops,0.002697,0.000150,0.96x,N/A,N/A,N/A
exponentiation-by-squaring,baseline,0.002243,0.000128,baseline,N/A,N/A,N/A
exponentiation-by-squaring,--lvn,0.002419,0.001310,0.93x,N/A,N/A,N/A
exponentiation-by-squaring,--dce,0.002295,0.000142,0.98x,N/A,N/A,N/A
exponentiation-by-squaring,--loops,0.002293,0.000131,0.98x,N/A,N/A,N/A
exponentiation-by-squaring,--lvn_--dce,0.002285,0.000130,0.98x,N/A,N/A,N/A
exponentiation-by-squaring,--lvn_--dce_--loops,0.002280,0.000128,0.98x,N/A,N/A,N/A
pow,baseline,0.002299,0.000148,baseline,N/A,N/A,N/A
pow,--lvn,0.002290,0.000140,1.00x,N/A,N/A,N/A
pow,--dce,0.002287,0.000125,1.01x,N/A,N/A,N/A
pow,--loops,0.002334,0.000138,0.99x,N/A,N/A,N/A
pow,--lvn_--dce,0.002283,0.000130,1.01x,N/A,N/A,N/A
pow,--lvn_--dce_--loops,0.002304,0.000150,1.00x,N/A,N/A,N/A
ray-bbox-intersection,baseline,0.002434,0.000134,baseline,N/A,N/A,N/A
ray-bbox-intersection,--lvn,0.002320,0.000139,1.05x,N/A,N/A,N/A
ray-bbox-intersection,--dce,0.002325,0.000149,1.05x,N/A,N/A,N/A
ray-bbox-intersection,--loops,0.002432,0.000155,1.00x,N/A,N/A,N/A
ray-bbox-intersection,--lvn_--dce,0.002425,0.000218,1.00x,N/A,N/A,N/A
ray-bbox-intersection,--lvn_--dce_--loops,0.002298,0.000154,1.06x,N/A,N/A,N/A
sqrt,baseline,0.002389,0.000189,baseline,N/A,N/A,N/A
sqrt,--lvn,0.002448,0.000176,0.98x,N/A,N/A,N/A
sqrt,--dce,0.002455,0.000812,0.97x,N/A,N/A,N/A
sqrt,--loops,0.002463,0.000135,0.97x,N/A,N/A,N/A
sqrt,--lvn_--dce,0.002433,0.000148,0.98x,N/A,N/A,N/A
sqrt,--lvn_--dce_--loops,0.002393,0.000136,1.00x,N/A,N/A,N/A
quickselect,baseline,0.002473,0.000141,baseline,N/A,N/A,N/A
quickselect,--lvn,0.002410,0.000140,1.03x,N/A,N/A,N/A
quickselect,--dce,0.002382,0.000144,1.04x,N/A,N/A,N/A
quickselect,--loops,0.002415,0.000135,1.02x,N/A,N/A,N/A
quickselect,--lvn_--dce,0.002431,0.000126,1.02x,N/A,N/A,N/A
quickselect,--lvn_--dce_--loops,0.002436,0.000114,1.02x,N/A,N/A,N/A
1dconv,baseline,0.002582,0.001697,baseline,N/A,N/A,N/A
1dconv,--lvn,0.002395,0.000138,1.08x,N/A,N/A,N/A
1dconv,--dce,0.002501,0.000140,1.03x,N/A,N/A,N/A
1dconv,--loops,0.002534,0.000130,1.02x,N/A,N/A,N/A
1dconv,--lvn_--dce,0.002515,0.000150,1.03x,N/A,N/A,N/A
1dconv,--lvn_--dce_--loops,0.002536,0.000130,1.02x,N/A,N/A,N/A
kadane,baseline,0.002319,0.000122,baseline,N/A,N/A,N/A
kadane,--lvn,0.002341,0.000124,0.99x,N/A,N/A,N/A
kadane,--dce,0.002333,0.000125,0.99x,N/A,N/A,N/A
kadane,--loops,0.001701,0.000169,1.36x,N/A,N/A,N/A
kadane,--lvn_--dce,0.002491,0.000142,0.93x,N/A,N/A,N/A
kadane,--lvn_--dce_--loops,0.002415,0.000143,0.96x,N/A,N/A,N/A
lis,baseline,0.002490,0.000136,baseline,N/A,N/A,N/A
lis,--lvn,0.002392,0.000120,1.04x,N/A,N/A,N/A
lis,--dce,0.002428,0.000119,1.03x,N/A,N/A,N/A
lis,--loops,0.002285,0.000106,1.09x,N/A,N/A,N/A
lis,--lvn_--dce,0.002371,0.000120,1.05x,N/A,N/A,N/A
lis,--lvn_--dce_--loops,0.002431,0.000111,1.02x,N/A,N/A,N/A
sieve,baseline,0.002380,0.000120,baseline,N/A,N/A,N/A
sieve,--lvn,0.002430,0.000119,0.98x,N/A,N/A,N/A
sieve,--dce,0.002408,0.000121,0.99x,N/A,N/A,N/A
sieve,--loops,0.002453,0.000120,0.97x,N/A,N/A,N/A
sieve,--lvn_--dce,0.002406,0.000122,0.99x,N/A,N/A,N/A
sieve,--lvn_--dce_--loops,0.002410,0.000122,0.99x,N/A,N/A,N/A
bubblesort,baseline,0.002360,0.000111,baseline,N/A,N/A,N/A
bubblesort,--lvn,0.002361,0.000116,1.00x,N/A,N/A,N/A
bubblesort,--dce,0.002401,0.000116,0.98x,N/A,N/A,N/A
bubblesort,--loops,0.002565,0.000993,0.92x,N/A,N/A,N/A
bubblesort,--lvn_--dce,0.002363,0.000142,1.00x,N/A,N/A,N/A
bubblesort,--lvn_--dce_--loops,0.002478,0.000144,0.95x,N/A,N/A,N/A
filter,baseline,0.002396,0.000147,baseline,N/A,N/A,N/A
filter,--lvn,0.002391,0.000161,1.00x,N/A,N/A,N/A
filter,--dce,0.002424,0.000158,0.99x,N/A,N/A,N/A
filter,--loops,0.002394,0.000139,1.00x,N/A,N/A,N/A
filter,--lvn_--dce,0.002442,0.000131,0.98x,N/A,N/A,N/A
filter,--lvn_--dce_--loops,0.002461,0.000133,0.97x,N/A,N/A,N/A
primitive-root,baseline,0.002631,0.000145,baseline,N/A,N/A,N/A
primitive-root,--lvn,0.002700,0.000143,0.97x,N/A,N/A,N/A
primitive-root,--dce,0.002651,0.000156,0.99x,N/A,N/A,N/A
primitive-root,--loops,0.002492,0.000109,1.06x,N/A,N/A,N/A
primitive-root,--lvn_--dce,0.002565,0.000104,1.03x,N/A,N/A,N/A
primitive-root,--lvn_--dce_--loops,0.002576,0.000123,1.02x,N/A,N/A,N/A
adler32,baseline,0.002523,0.000151,baseline,N/A,N/A,N/A
adler32,--lvn,0.002495,0.000151,1.01x,N/A,N/A,N/A
adler32,--dce,0.002510,0.000131,1.01x,N/A,N/A,N/A
adler32,--loops,0.002449,0.000148,1.03x,N/A,N/A,N/A
adler32,--lvn_--dce,0.002465,0.001196,1.02x,N/A,N/A,N/A
adler32,--lvn_--dce_--loops,0.002484,0.000150,1.02x,N/A,N/A,N/A
systolic,baseline,0.002531,0.000125,baseline,N/A,N/A,N/A
systolic,--lvn,0.002607,0.000130,0.97x,N/A,N/A,N/A
systolic,--dce,0.002529,0.000118,1.00x,N/A,N/A,N/A
systolic,--loops,0.002596,0.000122,0.97x,N/A,N/A,N/A
systolic,--lvn_--dce,0.002551,0.000114,0.99x,N/A,N/A,N/A
systolic,--lvn_--dce_--loops,0.002559,0.000126,0.99x,N/A,N/A,N/A
fnv1-hash,baseline,0.010121,0.000163,baseline,N/A,N/A,N/A
fnv1-hash,--lvn,0.010094,0.000192,1.00x,N/A,N/A,N/A
fnv1-hash,--dce,0.010116,0.000256,1.00x,N/A,N/A,N/A
fnv1-hash,--loops,0.010155,0.000167,1.00x,N/A,N/A,N/A
fnv1-hash,--lvn_--dce,0.010118,0.000318,1.00x,N/A,N/A,N/A
fnv1-hash,--lvn_--dce_--loops,0.010103,0.000268,1.00x,N/A,N/A,N/A
adj2csr,baseline,0.002628,0.000113,baseline,N/A,N/A,N/A
adj2csr,--lvn,0.002669,0.000104,0.98x,N/A,N/A,N/A
adj2csr,--dce,0.002665,0.000138,0.99x,N/A,N/A,N/A
adj2csr,--loops,0.002693,0.000138,0.98x,N/A,N/A,N/A
adj2csr,--lvn_--dce,0.002738,0.000143,0.96x,N/A,N/A,N/A
adj2csr,--lvn_--dce_--loops,0.002731,0.000142,0.96x,N/A,N/A,N/A
char-poly,baseline,0.002430,0.000111,baseline,N/A,N/A,N/A
char-poly,--lvn,0.002522,0.000122,0.96x,N/A,N/A,N/A
char-poly,--dce,0.002514,0.000118,0.97x,N/A,N/A,N/A
char-poly,--loops,0.002528,0.000120,0.96x,N/A,N/A,N/A
char-poly,--lvn_--dce,0.002547,0.000115,0.95x,N/A,N/A,N/A
char-poly,--lvn_--dce_--loops,0.002521,0.000118,0.96x,N/A,N/A,N/A
csrmv,baseline,0.003120,0.000118,baseline,N/A,N/A,N/A
csrmv,--lvn,0.003087,0.000121,1.01x,N/A,N/A,N/A
csrmv,--dce,0.003100,0.000118,1.01x,N/A,N/A,N/A
csrmv,--loops,0.003167,0.001228,0.99x,N/A,N/A,N/A
csrmv,--lvn_--dce,0.003129,0.000141,1.00x,N/A,N/A,N/A
csrmv,--lvn_--dce_--loops,0.003203,0.000122,0.97x,N/A,N/A,N/A
dot-product,baseline,0.002435,0.000149,baseline,N/A,N/A,N/A
dot-product,--lvn,0.002432,0.000160,1.00x,N/A,N/A,N/A
dot-product,--dce,0.002436,0.000156,1.00x,N/A,N/A,N/A
dot-product,--loops,0.002399,0.000141,1.02x,N/A,N/A,N/A
dot-product,--lvn_--dce,0.002379,0.000131,1.02x,N/A,N/A,N/A
dot-product,--lvn_--dce_--loops,0.002451,0.000136,0.99x,N/A,N/A,N/A
shufflesort,baseline,0.002698,0.000124,baseline,N/A,N/A,N/A
shufflesort,--lvn,0.002697,0.000140,1.00x,N/A,N/A,N/A
shufflesort,--dce,0.002705,0.000135,1.00x,N/A,N/A,N/A
shufflesort,--loops,0.002690,0.000111,1.00x,N/A,N/A,N/A
shufflesort,--lvn_--dce,0.002678,0.000109,1.01x,N/A,N/A,N/A
shufflesort,--lvn_--dce_--loops,0.002659,0.000114,1.01x,N/A,N/A,N/A
major-elm,baseline,0.002398,0.000153,baseline,N/A,N/A,N/A
major-elm,--lvn,0.002372,0.000137,1.01x,N/A,N/A,N/A
major-elm,--dce,0.002400,0.000140,1.00x,N/A,N/A,N/A
major-elm,--loops,0.002395,0.000152,1.00x,N/A,N/A,N/A
major-elm,--lvn_--dce,0.002349,0.001228,1.02x,N/A,N/A,N/A
major-elm,--lvn_--dce_--loops,0.002378,0.000156,1.01x,N/A,N/A,N/A
cordic,baseline,0.002488,0.000142,baseline,N/A,N/A,N/A
cordic,--lvn,0.002504,0.000137,0.99x,N/A,N/A,N/A
cordic,--dce,0.002506,0.000136,0.99x,N/A,N/A,N/A
cordic,--loops,0.002485,0.000133,1.00x,N/A,N/A,N/A
cordic,--lvn_--dce,0.002449,0.000113,1.02x,N/A,N/A,N/A
cordic,--lvn_--dce_--loops,0.002456,0.000120,1.01x,N/A,N/A,N/A
max-subarray,baseline,0.002296,0.000124,baseline,N/A,N/A,N/A
max-subarray,--lvn,0.002366,0.000127,0.97x,N/A,N/A,N/A
max-subarray,--dce,0.002364,0.000123,0.97x,N/A,N/A,N/A
max-subarray,--loops,0.002404,0.000162,0.95x,N/A,N/A,N/A
max-subarray,--lvn_--dce,0.002396,0.000143,0.96x,N/A,N/A,N/A
max-subarray,--lvn_--dce_--loops,0.002430,0.000144,0.95x,N/A,N/A,N/A
mat-mul,baseline,0.009147,0.000172,baseline,N/A,N/A,N/A
mat-mul,--lvn,0.009252,0.000149,0.99x,N/A,N/A,N/A
mat-mul,--dce,0.009273,0.000144,0.99x,N/A,N/A,N/A
mat-mul,--loops,0.008907,0.000150,1.03x,N/A,N/A,N/A
mat-mul,--lvn_--dce,0.009416,0.001497,0.97x,N/A,N/A,N/A
mat-mul,--lvn_--dce_--loops,0.008875,0.000130,1.03x,N/A,N/A,N/A
fib,baseline,0.002159,0.000109,baseline,N/A,N/A,N/A
fib,--lvn,0.002242,0.000125,0.96x,N/A,N/A,N/A
fib,--dce,0.002238,0.000116,0.96x,N/A,N/A,N/A
fib,--loops,0.002284,0.000107,0.94x,N/A,N/A,N/A
fib,--lvn_--dce,0.002349,0.000124,0.92x,N/A,N/A,N/A
fib,--lvn_--dce_--loops,0.002351,0.000118,0.92x,N/A,N/A,N/A
vsmul,baseline,0.002595,0.000125,baseline,N/A,N/A,N/A
vsmul,--lvn,0.002656,0.000139,0.98x,N/A,N/A,N/A
vsmul,--dce,0.002757,0.000128,0.94x,N/A,N/A,N/A
vsmul,--loops,0.002615,0.000117,0.99x,N/A,N/A,N/A
vsmul,--lvn_--dce,0.002652,0.000115,0.98x,N/A,N/A,N/A
vsmul,--lvn_--dce_--loops,0.002648,0.000110,0.98x,N/A,N/A,N/A
quicksort-hoare,baseline,0.002649,0.000113,baseline,N/A,N/A,N/A
quicksort-hoare,--lvn,0.002591,0.000107,1.02x,N/A,N/A,N/A
quicksort-hoare,--dce,0.002634,0.000119,1.01x,N/A,N/A,N/A
quicksort-hoare,--loops,0.002609,0.000114,1.02x,N/A,N/A,N/A
quicksort-hoare,--lvn_--dce,0.002609,0.000118,1.02x,N/A,N/A,N/A
quicksort-hoare,--lvn_--dce_--loops,0.002670,0.000125,0.99x,N/A,N/A,N/A
insertion-sort,baseline,0.002556,0.000970,baseline,N/A,N/A,N/A
insertion-sort,--lvn,0.002407,0.000135,1.06x,N/A,N/A,N/A
insertion-sort,--dce,0.002491,0.000141,1.03x,N/A,N/A,N/A
insertion-sort,--loops,0.002450,0.000159,1.04x,N/A,N/A,N/A
insertion-sort,--lvn_--dce,0.002438,0.000172,1.05x,N/A,N/A,N/A
insertion-sort,--lvn_--dce_--loops,0.002444,0.000160,1.05x,N/A,N/A,N/A
2dconvol,baseline,0.002495,0.000110,baseline,N/A,N/A,N/A
2dconvol,--lvn,0.002526,0.000111,0.99x,N/A,N/A,N/A
2dconvol,--dce,0.002515,0.000110,0.99x,N/A,N/A,N/A
2dconvol,--loops,0.002611,0.000148,0.96x,N/A,N/A,N/A
2dconvol,--lvn_--dce,0.002698,0.000136,0.92x,N/A,N/A,N/A
2dconvol,--lvn_--dce_--loops,0.002672,0.000141,0.93x,N/A,N/A,N/A
quicksort,baseline,0.002345,0.000117,baseline,N/A,N/A,N/A
quicksort,--lvn,0.002412,0.000115,0.97x,N/A,N/A,N/A
quicksort,--dce,0.002414,0.000117,0.97x,N/A,N/A,N/A
quicksort,--loops,0.002508,0.000140,0.94x,N/A,N/A,N/A
quicksort,--lvn_--dce,0.002464,0.000146,0.95x,N/A,N/A,N/A
quicksort,--lvn_--dce_--loops,0.002502,0.000136,0.94x,N/A,N/A,N/A
two-sum,baseline,0.002419,0.000154,baseline,N/A,N/A,N/A
two-sum,--lvn,0.002556,0.001199,0.95x,N/A,N/A,N/A
two-sum,--dce,0.002473,0.000155,0.98x,N/A,N/A,N/A
two-sum,--loops,0.002484,0.000151,0.97x,N/A,N/A,N/A
two-sum,--lvn_--dce,0.002490,0.000146,0.97x,N/A,N/A,N/A
two-sum,--lvn_--dce_--loops,0.002452,0.000133,0.99x,N/A,N/A,N/A
eight-queens,baseline,0.006504,0.000145,baseline,N/A,N/A,N/A
eight-queens,--lvn,0.006509,0.000134,1.00x,N/A,N/A,N/A
eight-queens,--dce,0.006451,0.000130,1.01x,N/A,N/A,N/A
eight-queens,--loops,0.006454,0.000138,1.01x,N/A,N/A,N/A
eight-queens,--lvn_--dce,0.006404,0.000137,1.02x,N/A,N/A,N/A
eight-queens,--lvn_--dce_--loops,0.006508,0.000139,1.00x,N/A,N/A,N/A
sorting-network-five,baseline,0.002434,0.000165,baseline,N/A,N/A,N/A
sorting-network-five,--lvn,0.002429,0.000138,1.00x,N/A,N/A,N/A
sorting-network-five,--dce,0.002453,0.000146,0.99x,N/A,N/A,N/A
sorting-network-five,--loops,0.002184,0.000175,1.11x,N/A,N/A,N/A
sorting-network-five,--lvn_--dce,0.002256,0.000131,1.08x,N/A,N/A,N/A
sorting-network-five,--lvn_--dce_--loops,0.002275,0.000144,1.07x,N/A,N/A,N/A
connected-components,baseline,0.002424,0.000123,baseline,N/A,N/A,N/A
connected-components,--lvn,0.002514,0.000909,0.96x,N/A,N/A,N/A
connected-components,--dce,0.002401,0.000138,1.01x,N/A,N/A,N/A
connected-components,--loops,0.002515,0.000132,0.96x,N/A,N/A,N/A
connected-components,--lvn_--dce,0.002476,0.000107,0.98x,N/A,N/A,N/A
connected-components,--lvn_--dce_--loops,0.002423,0.000107,1.00x,N/A,N/A,N/A
binary-search,baseline,0.002287,0.000123,baseline,N/A,N/A,N/A
binary-search,--lvn,0.002258,0.000117,1.01x,N/A,N/A,N/A
binary-search,--dce,0.002363,0.000133,0.97x,N/A,N/A,N/A
binary-search,--loops,0.002009,0.000265,1.14x,N/A,N/A,N/A
binary-search,--lvn_--dce,0.002082,0.000154,1.10x,N/A,N/A,N/A
binary-search,--lvn_--dce_--loops,0.002082,0.000116,1.10x,N/A,N/A,N/A
